snapshot_date,customer_id,segment,age_group,income_band,relationship_years,region,rm_id,branch_id,avg_balance_30d,avg_balance_90d,balance_growth_3m,inflow_30d,outflow_30d,salary_flag,salary_amount_avg,txn_count_30d,txn_count_90d,spending_30d,spending_90d,spending_growth_3m,online_spending_90d,travel_spending_90d,international_spending_90d,product_count,has_credit_card,has_premium_card,has_active_loan,deposit_balance,insurance_active_flag,has_investment,income_monthly,net_cashflow_30d,feature_usage_30d,login_count_30d,active_days_30d,digital_txn_count_30d,digital_engagement_score,days_since_last_rm_contact,rm_contact_count_90d,last_customer_response,recent_rejection_flag,complaint_count_30d,serious_complaint_7d,avg_csat,campaign_count_6m,previous_campaign_response,previous_card_campaign_response,previous_conversion_flag,contact_count_7d,serious_complaint_15d,recent_rejection_30d_flag
2026-08-31,CUS00000001,AFFLUENT,26-35,40-80M,10.34,SOUTH,RM0055,BR007,611755187.84,611755187.84,0.3407,101999672.72,38666540.48,True,56600015.14,6,14,55160680.87,118096122.31,1.253,40618023.86,0.0,0.0,1,False,False,False,0.0,False,False,60000000,63333132.24,16,51,10,17,100.0,223,0,CONVERTED,False,0,False,,1,0.0,0.0,False,0,False,False
2026-08-31,CUS00000002,MASS_AFFLUENT,18-25,10-20M,8.54,NORTH,RM0161,BR018,101323945.22,101323945.22,0.7142,17702668.89,5653301.91,True,13772875.06,6,17,6841837.26,16960417.85,0.8409,5753848.94,1905933.11,1905933.11,0,False,False,False,0.0,False,False,15000000,12049366.98,0,0,0,0,0.0,181,0,NOT_INTERESTED,False,0,False,,2,0.5,0.0,False,0,False,False
2026-08-31,CUS00000003,MASS_AFFLUENT,46-55,20-40M,13.0,NORTH,RM0101,BR012,20476977.4,20476977.4,-0.2241,12229138.14,11632033.57,False,0.0,4,8,12648340.66,21924492.0,0.8088,10582125.68,0.0,0.0,1,False,False,False,0.0,False,False,30000000,597104.57,0,2,1,0,4.7,149,0,NO_RESPONSE,False,0,False,3.0,5,0.2,0.0,False,0,False,False
2026-08-31,CUS00000004,PRIVATE,36-45,80M+,5.8,SOUTH,RM0098,BR011,1087696116.58,1087696116.58,0.4964,227684656.18,102472956.78,True,125343137.15,5,14,80338036.29,193597333.2,1.2022,75942122.49,9470307.09,0.0,3,False,False,True,1656279392.57,False,False,120000000,125211699.4,2,9,4,9,31.2,194,0,INTERESTED,False,0,False,1.0,1,0.0,0.0,False,0,False,False
2026-08-31,CUS00000005,PRIVATE,26-35,80M+,8.23,CENTRAL,RM0067,BR008,417878680.75,417878680.75,-0.1394,82923674.48,157473475.07,False,0.0,10,27,108355148.31,477338294.99,-0.2916,80020844.06,4845569.92,0.0,1,False,False,False,566984999.26,False,True,120000000,-74549800.59,25,73,12,29,100.0,21,1,CALLBACK,False,0,False,3.0,1,0.0,0.0,False,0,False,False
2026-08-31,CUS00000006,PRIVATE,26-35,80M+,4.8,SOUTH,RM0014,BR002,979739842.98,979739842.98,0.8152,168774984.49,46221462.36,True,127069668.06,3,19,13896574.31,130135033.55,-0.663,3399913.36,0.0,0.0,3,True,False,False,1374759255.35,False,False,120000000,122553522.13,11,18,8,3,44.4,999,0,,False,0,False,,2,0.0,0.0,False,0,False,False
2026-08-31,CUS00000007,AFFLUENT,36-45,40-80M,10.6,SOUTH,RM0147,BR017,323675946.4,323675946.4,0.8504,55919513.72,6794527.42,True,49899797.77,12,32,9994844.56,38442801.89,-0.1661,9350996.85,790893.11,0.0,3,False,False,True,0.0,False,False,60000000,49124986.3,55,100,18,64,100.0,31,1,CONVERTED,False,0,False,1.0,4,0.25,0.5,True,0,False,False
2026-08-31,CUS00000008,PRIVATE,36-45,80M+,8.45,NORTH,RM0131,BR015,2975518668.78,2975518668.78,0.3391,323985189.54,357792431.54,True,109538998.94,15,33,590224843.38,1588162093.97,1.6228,467580438.98,66135369.38,3157820.42,3,True,False,False,0.0,True,False,120000000,-33807242.0,24,64,13,29,100.0,109,0,CALLBACK,False,0,False,,3,0.0,0.0,False,0,False,False
2026-08-31,CUS00000009,MASS,65+,10-20M,13.37,CENTRAL,RM0143,BR016,106679241.76,106679241.76,0.8586,18520653.27,3065204.7,True,16092784.82,19,38,9448640.63,18852035.71,1.0231,6651929.66,4244617.31,3163608.28,2,False,False,True,0.0,False,False,15000000,15455448.57,44,89,13,37,100.0,241,0,INTERESTED,False,0,False,3.0,3,0.0,0.0,False,0,False,False
2026-08-31,CUS00000010,MASS,46-55,<10M,10.79,SOUTH,RM0174,BR020,6544253.16,6544253.16,-0.27,3138963.01,3849521.99,False,0.0,0,2,0.0,542674.77,-1.0,0.0,0.0,0.0,3,False,False,False,35694989.67,False,True,7000000,-710558.98,0,0,0,0,0.0,26,2,NO_RESPONSE,False,0,False,1.67,5,0.0,0.0,False,0,False,False
2026-08-31,CUS00000011,AFFLUENT,56-65,80M+,5.71,NORTH,RM0160,BR018,848796523.24,848796523.24,0.835,142746933.52,21472044.43,True,121676624.33,11,25,31507224.29,87672814.14,0.8599,18585275.17,11788183.99,3977704.5,4,False,False,True,82425293.97,False,False,120000000,121274889.09,22,54,13,38,100.0,40,1,INTERESTED,False,0,False,,5,0.6,0.75,True,0,False,False
2026-08-31,CUS00000012,AFFLUENT,26-35,80M+,7.61,SOUTH,RM0012,BR002,925462043.14,925462043.14,0.737,148327645.71,41581238.94,True,114733575.0,8,17,44075538.46,84878774.47,0.4101,9668425.62,0.0,0.0,2,False,False,False,105432936.0,False,False,120000000,106746406.77,0,0,0,0,0.0,26,1,INTERESTED,False,0,False,,1,0.0,0.0,False,0,False,False
2026-08-31,CUS00000013,MASS,46-55,<10M,7.94,CENTRAL,RM0053,BR006,50042794.11,50042794.11,0.6439,9178571.78,3587272.42,True,6168911.42,3,9,494720.07,3247782.2,-0.6408,427998.37,496352.31,496352.31,2,True,True,False,0.0,False,False,7000000,5591299.36,3,29,8,9,69.2,58,2,NO_RESPONSE,False,0,False,,2,0.0,0.0,False,0,False,False
2026-08-31,CUS00000014,MASS_AFFLUENT,56-65,10-20M,12.16,SOUTH,RM0057,BR007,34349825.67,34349825.67,-0.0908,9324865.96,8599740.88,False,0.0,10,31,12291051.67,40734708.91,-0.2256,7491530.3,2051106.48,1363806.2,2,True,False,False,0.0,False,False,15000000,725125.08,11,22,8,8,56.8,999,0,,False,0,False,4.0,1,0.0,0.0,False,0,False,False
2026-08-31,CUS00000015,MASS_AFFLUENT,46-55,20-40M,7.23,CENTRAL,RM0073,BR009,356759024.92,356759024.92,0.8559,57998355.06,23858249.1,True,30950717.97,7,28,21724132.96,95920981.78,-0.341,13121926.93,14344724.7,123953.04,1,False,False,False,87449589.45,False,False,30000000,34140105.96,0,0,0,0,0.0,38,1,INTERESTED,False,0,False,,5,0.0,0.0,False,0,False,False
2026-08-31,CUS00000016,AFFLUENT,46-55,20-40M,6.16,NORTH,RM0061,BR007,815521521.37,815521521.37,1.3858,93277296.56,99835330.82,True,27195712.73,5,20,86924044.44,289090204.92,-0.3274,41064510.82,17029132.08,0.0,1,False,False,False,1314875274.42,False,True,30000000,-6558034.26,22,53,15,33,100.0,1,1,NOT_INTERESTED,False,0,False,,3,0.0,0.0,False,1,False,False
2026-08-31,CUS00000017,MASS,46-55,10-20M,3.48,SOUTH,RM0154,BR018,104540146.99,104540146.99,0.8059,18585089.61,4826546.23,True,14781307.01,12,30,13330607.1,26086223.17,0.6864,6703220.73,264961.39,264961.39,3,True,False,True,69118278.99,False,False,15000000,13758543.39,11,31,9,20,87.1,11,1,CALLBACK,False,0,False,,1,0.0,0.0,False,0,False,False
2026-08-31,CUS00000018,SME,46-55,40-80M,1.2,NORTH,RM0144,BR016,362846729.63,362846729.63,0.8437,63193756.62,10605810.83,True,56316969.98,4,11,6313676.72,15835764.49,0.2489,6241160.5,0.0,0.0,1,False,False,True,0.0,False,False,60000000,52587945.79,8,16,6,8,44.2,999,0,,False,0,False,,5,0.0,0.0,False,0,False,False
2026-08-31,CUS00000019,MASS,36-45,10-20M,6.01,CENTRAL,RM0015,BR002,7563984.91,7563984.91,-0.1237,1771521.04,2267526.73,False,0.0,10,20,2909344.13,6410569.59,1.0664,1734634.19,390827.94,390827.94,0,False,False,False,0.0,False,False,15000000,-496005.69,0,0,0,0,0.0,171,0,NO_RESPONSE,False,0,False,2.0,2,0.5,0.0,False,0,False,False
2026-08-31,CUS00000020,PRIVATE,56-65,80M+,8.82,NORTH,RM0140,BR016,1056034342.45,1056034342.45,0.6522,184663522.72,126695005.11,True,99961149.7,6,27,81023846.31,406486306.82,-0.6701,54992841.2,37931610.16,22105851.16,2,True,True,False,0.0,True,False,120000000,57968517.6,17,40,11,25,100.0,251,0,INTERESTED,False,0,False,3.0,1,0.0,0.0,False,0,False,False
2026-08-31,CUS00000021,MASS_AFFLUENT,36-45,10-20M,6.46,SOUTH,RM0092,BR011,112578201.99,112578201.99,0.7291,21156827.22,5997806.72,True,16061469.8,4,13,2230166.36,10013109.66,-0.2032,1805641.36,0.0,0.0,1,False,False,False,33330885.72,False,False,15000000,15159020.5,0,0,0,0,0.0,158,0,CALLBACK,False,1,False,,5,0.0,0.0,False,0,False,False
2026-08-31,CUS00000022,MASS,36-45,<10M,0.58,NORTH,RM0015,BR002,8583143.42,8583143.42,-0.1019,2679600.68,3337239.71,False,0.0,3,17,3598297.98,12305557.81,0.2972,2559795.17,1897943.85,1009405.14,3,True,False,False,0.0,True,False,7000000,-657639.03,7,17,10,11,55.4,999,0,,False,0,False,3.0,5,0.0,0.0,False,0,False,False
2026-08-31,CUS00000023,SME,56-65,20-40M,10.42,NORTH,RM0081,BR009,228246232.77,228246232.77,0.5384,44436623.63,19148659.79,True,25373002.69,5,12,14389811.05,46417359.09,-0.0306,4819063.03,0.0,0.0,2,True,False,True,0.0,False,False,30000000,25287963.84,19,47,11,25,100.0,334,0,NO_RESPONSE,False,0,False,,2,0.5,0.5,False,0,False,False
2026-08-31,CUS00000024,SME,18-25,20-40M,12.53,CENTRAL,RM0021,BR003,218105338.4,218105338.4,0.4406,44039936.62,20805210.72,True,27887280.11,8,20,25535552.3,60360629.66,0.2344,14619976.96,3303243.13,3303243.13,2,True,True,True,0.0,False,False,30000000,23234725.9,9,30,11,6,71.7,257,0,NO_RESPONSE,False,0,False,,2,0.0,0.0,False,0,False,False
2026-08-31,CUS00000025,PRIVATE,26-35,40-80M,12.73,NORTH,RM0047,BR006,519399712.68,519399712.68,0.2379,78433489.82,117827755.91,False,0.0,9,28,238118892.67,571894746.03,-0.0289,180740408.56,0.0,0.0,1,False,False,False,530181431.78,False,True,60000000,-39394266.08,9,34,7,27,97.3,210,0,NO_RESPONSE,False,0,False,,4,0.0,0.0,False,0,False,False
2026-08-31,CUS00000026,SME,36-45,40-80M,12.85,NORTH,RM0032,BR004,332727956.79,332727956.79,0.8996,54590565.1,9935924.81,True,49446772.03,5,17,5487371.47,26312546.48,-0.7054,2453878.29,455489.29,455489.29,3,False,False,False,101003147.3,False,False,60000000,44654640.29,0,0,0,0,0.0,999,0,,False,0,False,2.0,4,0.5,0.0,False,0,False,False
2026-08-31,CUS00000027,MASS,46-55,<10M,11.27,NORTH,RM0085,BR010,60664610.84,60664610.84,0.4626,9052919.05,3257176.38,True,6528736.84,5,8,4472253.73,6889978.86,1.8349,1156004.84,767307.61,0.0,0,False,False,False,0.0,False,False,7000000,5795742.67,0,0,0,0,0.0,20,1,CALLBACK,True,0,False,4.0,4,0.0,0.0,False,0,False,True
2026-08-31,CUS00000028,AFFLUENT,18-25,20-40M,5.4,NORTH,RM0146,BR017,208723736.15,208723736.15,0.5829,54512656.7,26750596.13,True,29045239.4,2,5,8605038.79,26715628.91,-0.0601,4998246.09,1768020.03,0.0,5,True,False,True,0.0,True,False,30000000,27762060.57,1,3,2,1,9.0,138,0,CONVERTED,False,0,False,3.5,1,0.0,0.0,False,0,False,False
2026-08-31,CUS00000029,MASS_AFFLUENT,56-65,20-40M,4.35,SOUTH,RM0117,BR013,43462105.7,43462105.7,0.1063,14995875.75,12971088.18,False,0.0,13,35,43083149.28,93954054.54,0.5668,24080474.68,18658579.86,1326281.89,4,True,True,False,340543864.45,True,True,30000000,2024787.57,10,31,7,9,70.9,114,0,NOT_INTERESTED,False,0,False,1.0,2,0.5,0.5,False,0,False,False
